day,com.fares.administration.ejb.EmailServiceBean_cytgry_HomeImpl,com.fares.vectorrules.ejb.VectorRulesCascadeService_6qcswr_HomeImpl,com.fares.vectorrules.ejb.VectorRulesUtilService_d6pqih_HomeImpl,com.fares.lookup.ejb.LookupServiceEJB_htzec7_HomeImp,com.fares.preference.ejb.PreferenceService_wcbi7k_HomeImpl,com.fares.smartsearch.ejb.SmartSearch_3wwr4_HomeImpl,com.fares.useraccess.ejb.UserAccessService_wrjm2t_HomeImpl,com.fares.vectorrules.ejb.VectorRulesCascadeService_6qcswr_HomeImpl,com.fares.useraccess.ejb.ClassicUserAccessService_kwa3z1_HomeImpl,com.fares.utility.ejb.UtilityService_e2716b_HomeImpl,com.fares.retrends.ejb.RetrendsService_1af6bp_HomeImpl
27-april,572,85,223,1,48,7,37,2,12,1,0
28-april,0,0,0,0,0,0,0,0,0,0,3
